avg_bits,budget,n_items,sum_bits,ffd_bytes,opt_bytes,lb_bytes,ffd_over_opt,ffd_minus_opt,bits_sacrificed,distortion_inflation
1.0,1536,832,1536,192,192,192,1.0,0,0,1.0
1.5,2304,1134,2304,288,288,288,1.0,0,0,1.0
2.0,3072,1368,3072,384,384,384,1.0,0,0,1.0
2.5,3840,1514,3840,480,480,480,1.0,0,0,1.0
3.0,4608,1530,4608,576,576,576,1.0,0,0,1.0
3.5,5376,1534,5376,672,672,672,1.0,0,0,1.0
4.0,6144,1534,6144,810,810,768,1.0,0,0,1.0
4.5,6912,1534,6912,987,987,864,1.0,0,0,1.0
5.0,7680,1534,7680,1239,1239,960,1.0,0,0,1.0
5.5,8448,1534,8448,1411,1411,1056,1.0,0,0,1.0
6.0,9216,1534,9216,1519,1519,1152,1.0,0,0,1.0
6.5,9984,1534,9984,1532,1532,1248,1.0,0,0,1.0
7.0,10752,1534,10752,1534,1534,1344,1.0,0,0,1.0
