dataset,method,bpd,compression_factor,code_bytes,mse,n_db,n_queries,D,recall_at_1,recall_at_10,recall_at_100
msmarco_500k,rankaware,1,31.03030303030303,66000000,0.00010492440700531006,500000,10000,1024,0.6763,0.8032499999999851,0.8524560000000091
msmarco_500k,rankaware,2,15.753846153846155,130000000,2.797612190246582e-05,500000,10000,1024,0.8466,0.9114099999999268,0.9371869999999756
msmarco_500k,rankaware,3,10.138613861386139,202000000,9.627642333507538e-06,500000,10000,1024,0.9193,0.949639999999928,0.9660489999999092
msmarco_500k,rankaware,4,7.198594024604569,284500000,3.4907589852809908e-06,500000,10000,1024,0.9419,0.964529999999943,0.9772019999998575
msmarco_500k,rankaware,5,6.104321907600596,335500000,1.1475021764636039e-06,500000,10000,1024,0.9516,0.9714699999999524,0.981776999999846
msmarco_500k,rankaware,6,5.0818858560794045,403000000,3.997916728258133e-07,500000,10000,1024,0.9557,0.9737399999999571,0.9833309999998481
msmarco_500k,perdim_mse,1,31.03030303030303,66000000,9.915366172790528e-05,500000,10000,1024,0.6339,0.7773099999999958,0.8288690000000161
msmarco_500k,perdim_mse,2,15.753846153846155,130000000,2.4826412200927734e-05,500000,10000,1024,0.8137,0.8928499999999311,0.9223009999999815
msmarco_500k,perdim_mse,3,10.556701030927835,194000000,7.581935226917267e-06,500000,10000,1024,0.8805,0.933239999999921,0.9549159999999458
msmarco_500k,perdim_mse,4,7.353680430879713,278500000,2.4390095472335815e-06,500000,10000,1024,0.9243,0.9568699999999364,0.9718789999998786
msmarco_500k,perdim_mse,5,5.673130193905817,361000000,8.51709321141243e-07,500000,10000,1024,0.9481,0.9687899999999495,0.9803559999998477
msmarco_500k,perdim_mse,6,4.576536312849162,447500000,3.466946445405483e-07,500000,10000,1024,0.956,0.9729699999999554,0.983203999999847
msmarco_500k,saq_paper,1,31.03030303030303,66000000,0.000266087589263916,500000,10000,1024,0.6346,0.7705599999999958,0.8173020000000166
msmarco_500k,saq_paper,2,15.753846153846155,130000000,6.582483530044555e-05,500000,10000,1024,0.8252,0.8977699999999328,0.9227939999999779
msmarco_500k,saq_paper,3,10.556701030927835,194000000,3.17673134803772e-05,500000,10000,1024,0.9169,0.9480899999999276,0.9625709999999222
msmarco_500k,saq_paper,4,7.937984496124031,258000000,1.1397509574890137e-05,500000,10000,1024,0.9483,0.9674899999999444,0.9767199999998631
msmarco_500k,saq_paper,5,6.3602484472049685,322000000,4.942366480827332e-06,500000,10000,1024,0.9729,0.9808499999999633,0.9865209999998482
msmarco_500k,saq_paper,6,5.305699481865285,386000000,1.4306332916021346e-06,500000,10000,1024,0.9807,0.9882199999999773,0.9915209999998764
msmarco_500k,ours,1,31.03030303030303,66000000,0.0002500597381591797,500000,10000,1024,0.5486,0.7159499999999995,0.7673650000000056
msmarco_500k,ours,2,15.753846153846155,130000000,6.320165634155273e-05,500000,10000,1024,0.766,0.863879999999949,0.8941999999999911
msmarco_500k,ours,3,10.556701030927835,194000000,2.0239570140838624e-05,500000,10000,1024,0.8665,0.9231799999999206,0.9434859999999679
msmarco_500k,ours,4,7.937984496124031,258000000,6.766875088214874e-06,500000,10000,1024,0.9286,0.9567299999999325,0.9691709999998931
msmarco_500k,ours,5,6.3602484472049685,322000000,1.873997300863266e-06,500000,10000,1024,0.9598,0.9744799999999545,0.9821549999998445
msmarco_500k,ours,6,5.305699481865285,386000000,4.719956964254379e-07,500000,10000,1024,0.979,0.9868999999999756,0.99081299999987
msmarco_500k,rabitq,1,29.257142857142856,70000000,0.00029907857894897463,500000,10000,1024,0.5387,0.6961800000000029,0.7431759999999982
msmarco_500k,rabitq,2,15.283582089552239,134000000,9.65229320526123e-05,500000,10000,1024,0.7398,0.8418499999999737,0.8731270000000022
