bpd,alpha,mse,r@1,r@10,r@100,bits_sum,head_bits,tail_bits,code_bytes,compression
2,0.0,2.389820497044008e-05,0.916,0.9250999999999914,0.9424800000000046,3072,2277,795,384,16.0
2,0.5,2.7219077152033848e-05,0.929,0.9453999999999927,0.9575700000000131,3072,2600,472,384,16.0
2,1.0,3.387736631964995e-05,0.931,0.9442999999999926,0.9594500000000145,3072,2845,227,384,16.0
2,2.0,4.6690809204923584e-05,0.912,0.9320999999999917,0.9518100000000117,3072,3041,31,384,16.0
2,3.0,5.6565894823684433e-05,0.894,0.919799999999991,0.9440100000000082,3072,3072,0,384,16.0
4,0.0,2.2403744334725017e-06,0.964,0.9716999999999957,0.9790200000000122,6144,3701,2443,768,8.0
4,0.5,2.711400640532625e-06,0.972,0.9817999999999973,0.9844000000000099,6144,4061,2083,768,8.0
4,1.0,4.077917397624315e-06,0.979,0.9816999999999972,0.9848400000000097,6144,4377,1767,768,8.0
4,2.0,8.714953656951185e-06,0.974,0.9780999999999967,0.9832200000000106,6144,4851,1293,768,8.0
4,3.0,1.3042508150993373e-05,0.969,0.974499999999996,0.9805600000000115,6144,5142,1002,768,8.0
